,Category,Product,Rating,Reviews,Price,Image,ASIN,Link
38,Cellphones And Accesories,"QHOHQ 3 Pack Screen Protector for iPhone 12 Pro Max [6.7”] with 2 Packs Tempered Glass Camera Lens Protector, Tempered Glass Film, 9H Hardness - HD - 2.5D Edge - Bubble Free - Scratch Resistant",4.5 out of 5 stars,6072.0,16.99,https://m.media-amazon.com/images/I/71JSy14DhNL._AC_UY218_.jpg,B088DXSTNW,https://www.amazon.com/QHOHQ-iPhone-12-Pro-Max/dp/B088DXSTNW/ref=sr_1_15?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-15
39,Cellphones And Accesories,"Anker Nano USB-C Charger, PIQ 3.0 Durable Compact Fast Charger, PowerPort III USB-C Charger for iPhone 12/12 Mini / 12 Pro / 12 Pro Max / 11, Galaxy, Pixel 4/3, iPad Pro (Cable Not Included)",4.8 out of 5 stars,22191.0,16.99,https://m.media-amazon.com/images/I/51SrOjePk1L._AC_UY218_.jpg,B07WRKXQ8W,https://www.amazon.com/Charger-Anker-Adapter-PowerPort-iPhone/dp/B07WRKXQ8W/ref=sr_1_16?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-16
40,Cellphones And Accesories,"Mkeke Compatible with iPhone XR Screen Protector, IPhone 11 Screen protector,Tempered Glass Film for Apple iPhone XR and iPhone 11, 3-Pack Clear",4.6 out of 5 stars,128084.0,6.98,https://m.media-amazon.com/images/I/71nK-Ti90+L._AC_UY218_.jpg,B07HRN9J19,https://www.amazon.com/Mkeke-Compatible-iPhone-Protector-Tempered/dp/B07HRN9J19/ref=sr_1_17?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-17
41,Cellphones And Accesories,"Samsung Galaxy Buds Pro, True Wireless Earbuds w/ Active Noise Cancelling (Wireless Charging Case Included), Phantom Black (US Version)",4.1 out of 5 stars,110.0,199.99,https://m.media-amazon.com/images/I/719p0eyZiSL._AC_UY218_.jpg,B08MWZHHKP,https://www.amazon.com/Samsung-Wireless-Cancelling-Charging-Included/dp/B08MWZHHKP/ref=sr_1_18?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-18
42,Cellphones And Accesories,"Selfie Ring Light with Tripod Stand & Cell Phone Holder for Live Stream/Makeup, UBeesize Mini Led Camera Ringlight for YouTube Video/Photography",4.4 out of 5 stars,50830.0,33.99,https://m.media-amazon.com/images/I/61dR6Py28XL._AC_UY218_.jpg,B07GDC39Y2,https://www.amazon.com/UBeesize-Ringlight-YouTube-Photography-Compatible/dp/B07GDC39Y2/ref=sr_1_19?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-19
43,Cellphones And Accesories,Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,4.7 out of 5 stars,4199.0,349.00,https://m.media-amazon.com/images/I/7199N-Uz2AL._AC_UY218_.jpg,B08CFSZLQ4,https://www.amazon.com/Google-Pixel-4a-Unlocked-Smartphone/dp/B08CFSZLQ4/ref=sr_1_20?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-20
44,Cellphones And Accesories,"Powerbeats Pro Wireless Earphones - Apple H1 Headphone Chip, Class 1 Bluetooth, 9 Hours Of Listening Time, Sweat Resistant Earbuds, Built-in Microphone - Black",4.6 out of 5 stars,39654.0,199.95,https://m.media-amazon.com/images/I/61zEqUsN1tL._AC_UY218_.jpg,B07R5QD598,https://www.amazon.com/Powerbeats-Pro-Totally-Wireless-Earphones/dp/B07R5QD598/ref=sr_1_21?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-21
45,Cellphones And Accesories,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,4.3 out of 5 stars,163956.0,29.99,https://m.media-amazon.com/images/I/71-S-dtu42L._AC_UY218_.jpg,B07J2Z5DBM,https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_22?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-22
46,Cellphones And Accesories,"Stylus Pen for iPad with Palm Rejection, Active Pencil Compatible with (2018-2020) Apple iPad Pro (11/12.9 Inch),iPad 6th/7th Gen,iPad Mini 5th Gen,iPad Air 3rd Gen for Precise Writing/Drawing",4.6 out of 5 stars,36514.0,33.99,https://m.media-amazon.com/images/I/5196jas+gZL._AC_UY218_.jpg,B0831BF1FH,https://www.amazon.com/Rejection-Compatible-2018-2020-Precise-Writing/dp/B0831BF1FH/ref=sr_1_23?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-23
47,Cellphones And Accesories,"UBeesize 10"" Selfie Ring Light with 50"" Extendable Tripod Stand & Flexible Phone Holder for Live Stream/Makeup/YouTube Video",4.4 out of 5 stars,25324.0,39.99,https://m.media-amazon.com/images/I/71Fue2rQFVL._AC_UY218_.jpg,B07QFV72LK,https://www.amazon.com/10-Extendable-UBeesize-Ringlight-Compatible/dp/B07QFV72LK/ref=sr_1_24?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-24
48,Cellphones And Accesories,Apple AirPods with Charging Case (Wired),4.8 out of 5 stars,311976.0,128.98,https://m.media-amazon.com/images/I/71NTi82uBEL._AC_UY218_.jpg,B07PXGQC1Q,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q/ref=sr_1_1?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-1
49,Cellphones And Accesories,Apple AirPods Pro,4.8 out of 5 stars,138504.0,199.98,https://m.media-amazon.com/images/I/71zny7BTRlL._AC_UY218_.jpg,B07ZPC9QD4,https://www.amazon.com/Apple-MWP22AM-A-AirPods-Pro/dp/B07ZPC9QD4/ref=sr_1_2?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-2
50,Cellphones And Accesories,Apple 20W USB-C Power Adapter,4.8 out of 5 stars,16097.0,18.99,https://m.media-amazon.com/images/I/41iWogJnZQL._AC_UY218_.jpg,B08L5M9BTJ,https://www.amazon.com/Apple-20W-USB-C-Power-Adapter/dp/B08L5M9BTJ/ref=sr_1_3?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-3
51,Cellphones And Accesories,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",4.8 out of 5 stars,101438.0,169.00,https://m.media-amazon.com/images/I/71fwbMm1NBL._AC_UY218_.jpg,B07K39FRSL,https://www.amazon.com/Apple-Watch-GPS-38mm-Space-Aluminium/dp/B07K39FRSL/ref=sr_1_4?dchild=1&qid=1610927124&refinements=p_72%3A1248879011&rnid=493964&s=electronics&sr=1-4
